States,State_Number,StayAtHome_Date,DaysAfterFirst,Time
AL,0,4/4/20,16,17
AK,2,3/28/20,9,17
AZ,4,3/31/20,12,17
AR,6,,,
CA,8,3/19/20,0,0
CO,10,3/26/20,7,6
CT,12,3/23/20,4,20
DE,14,3/24/20,5,8
FL,16,4/3/20,15,0
GA,18,4/3/20,15,0
HI,20,3/25/20,6,0
ID,22,3/25/20,6,13.5
IL,24,3/21/20,2,17
IN,26,3/25/20,6,0
IA,28,,,
KS,30,3/30/20,11,0
KY,32,3/26/20,7,20
LA,34,3/23/20,4,17
ME,36,4/2/20,14,0
MD,38,3/30/20,11,20
MA,40,3/24/20,5,12
MI,42,3/24/20,5,0
MN,44,3/28/20,9,0
MS,46,4/3/20,15,17
MO,48,4/6/20,18,0
MT,50,3/28/20,9,0
NE,52,,,
NV,54,4/1/20,13,0
NH,56,3/28/20,9,0
NJ,58,3/21/20,2,21
NM,60,3/24/20,5,8
NY,62,3/22/20,3,20
NC,64,3/30/20,11,17
ND,66,,,
OH,68,3/24/20,5,0
OK,70,,,
OR,72,3/23/20,4,0
PA,74,4/1/20,13,20
RI,76,3/28/20,9,0
SC,78,4/7/20,19,17
SD,80,,,
TN,82,4/1/20,13,0
TX,84,4/2/20,14,0
UT,86,,,
VT,88,3/25/20,6,17
VA,90,3/30/20,11,0
WA,92,3/23/20,4,0
WV,94,3/24/20,5,20
WI,96,3/25/20,6,8
WY,98,3/28/20,9,0